class_10,count,count_percent,area,area_percent
1:1 갱신,5668,23.14,722636.6234151988,16.69
1:1 변화없음,9686,39.54,1783662.979598044,41.18
1:N 갱신,34,0.14,14195.116117783766,0.33
1:N 변화없음,6,0.02,7810.400105633836,0.18
N:1 갱신,3146,12.84,573456.6452389385,13.24
N:1 변화없음,5346,21.82,1145246.7789702285,26.44
N:N 갱신,84,0.34,20931.103387589406,0.48
N:N 변화없음,6,0.02,817.2291388397074,0.02
소멸,458,1.87,51778.25486627273,1.2
신축,64,0.26,10369.251103614572,0.24
