클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,1,45,0,1,45,0.0,0.0
변화없음,343,267,266,77,1,0.776,0.996
소멸,9,41,8,1,33,0.889,0.195
신축,14,14,5,9,9,0.357,0.357
