class_10,count,count_percent,area,area_percent
1:1 갱신,86,6.72,91746.89513287018,7.82
1:1 변화없음,1082,84.53,1026249.9160468677,87.45
1:N 갱신,8,0.62,14814.686248751854,1.26
1:N 변화없음,7,0.55,7924.481185441757,0.68
N:1 갱신,3,0.23,1563.1044236811817,0.13
소멸,35,2.73,8939.142956758671,0.76
신축,59,4.61,22302.09178490198,1.9
