클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,47,121,11,36,110,0.234,0.091
변화없음,543,323,295,248,28,0.543,0.913
소멸,35,181,31,4,150,0.886,0.171
신축,60,94,11,49,83,0.183,0.117
