클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,761,5160,569,192,4591,0.748,0.11
변화없음,13455,8739,8539,4916,200,0.635,0.977
소멸,141,458,73,68,385,0.518,0.159
신축,113,65,39,74,26,0.345,0.6
