cls_10,count,count_percent,area,area_percent
1:1 FN,28,1.89,73733.69838998812,6.5
1:1 FP,28,1.89,23738.014181813498,2.09
1:1 TP,976,65.99,668231.6205214158,58.88
1:N FN,11,0.74,34513.4645815058,3.04
1:N FP,24,1.62,18357.83964239231,1.62
1:N TP,21,1.42,22525.659852970235,1.98
FN,222,15.01,115335.79841747388,10.16
FP,89,6.02,58451.90898094205,5.15
N:1 FN,4,0.27,6658.003195002169,0.59
N:1 FP,2,0.14,2316.5301241155207,0.2
N:1 TP,74,5.0,110996.28391572402,9.78
