class_10,count,count_percent,area,area_percent
1:1 갱신,212,9.04,132407.70781842375,12.49
1:1 변화없음,550,23.45,335176.43632622034,31.62
1:N 갱신,42,1.79,69542.39260168756,6.56
1:N 변화없음,3,0.13,867.8291619357441,0.08
N:1 갱신,298,12.71,111785.19362375535,10.55
N:1 변화없음,751,32.03,321570.8475869967,30.34
N:N 갱신,18,0.77,4886.025510257613,0.46
N:N 변화없음,6,0.26,3186.128920347348,0.3
소멸,405,17.27,61499.8124778763,5.8
신축,60,2.56,18972.176245029128,1.79
