class_10,count,count_percent,area,area_percent
1:1 갱신,2634,3.37,515889.5828,3.1
1:1 변화없음,72692,92.87,15325924.96,92.22
1:N 갱신,110,0.14,58329.3342,0.35
1:N 변화없음,57,0.07,31409.72518,0.19
N:1 갱신,958,1.22,164454.8508,0.99
N:1 변화없음,51,0.07,25228.13353,0.15
N:N 갱신,138,0.18,39199.82129,0.24
소멸,771,0.98,207882.5574,1.25
신축,865,1.11,249968.5645,1.5
합계,78276,100.01,16618287.53,99.99
