class_10,count,count_percent,area,area_percent
1:1 갱신,2634,3.365016096887935,515889.5827844478,3.1
1:1 변화없음,72692,92.86626807706065,15325924.960305512,92.22
1:N 갱신,110,0.1405283867341203,58329.33419862566,0.35
1:N 변화없음,57,0.07281925494404415,31409.725181107657,0.19
N:1 갱신,958,1.2238744953753384,164454.85076686396,0.99
N:1 변화없음,51,0.06515407021309214,25228.133526151643,0.15
N:N 갱신,138,0.17629924881189638,39199.82128685103,0.24
N:N 변화없음,0,0.0,0.0,0.0
소멸,771,0.984976237927334,207882.55740491577,1.25
신축,865,1.1050641320455823,249968.56446037846,1.5
