class_10,count,count_percent,area,area_percent
1:1 갱신,5666,23.13,718966.1079068604,16.6
1:1 변화없음,9684,39.53,1779976.7618040363,41.1
1:N 갱신,34,0.14,14195.116117783766,0.33
1:N 변화없음,6,0.02,7810.400105633836,0.18
N:1 갱신,3122,12.74,549034.9953586883,12.68
N:1 변화없음,5462,22.3,1185174.7535986823,27.37
N:N 갱신,86,0.35,21108.72356459179,0.49
N:N 변화없음,6,0.02,817.2291388397074,0.02
소멸,368,1.5,43451.04324341266,1.0
신축,64,0.26,10369.251103614572,0.24
