클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,153,397,50,103,347,0.327,0.126
변화없음,2350,1794,1688,662,106,0.718,0.941
소멸,170,482,105,65,377,0.618,0.218
신축,93,92,42,51,50,0.452,0.457
