클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,18,76,4,14,72,0.222,0.053
변화없음,718,503,496,222,7,0.691,0.986
소멸,62,219,60,2,159,0.968,0.274
신축,80,102,16,64,86,0.2,0.157
