클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,44,413,21,23,392,0.477,0.051
변화없음,1553,714,709,844,5,0.457,0.993
소멸,48,518,44,4,474,0.917,0.085
신축,57,62,20,37,42,0.351,0.323
