bd_class,count,count_percent,area,area_percent
1:1 정탐지,564,48.92,503852.35958311183,47.84
1:1 형상 오류,98,8.5,116733.4702177733,11.08
complex 정탐지,5,0.43,10410.949494421031,0.99
complex 형상 오류,5,0.43,26002.170314145646,2.47
over-seg 정탐지,3,0.26,2016.9326371727955,0.19
over-seg 형상 오류,40,3.47,109013.84611351894,10.35
under-seg 정탐지,142,12.32,204638.651067506,19.43
under-seg 형상 오류,25,2.17,13839.369066783067,1.31
미탐지,186,16.13,41309.50479200759,3.92
오탐지,85,7.37,25420.852207407992,2.41
