bd_class,count,count_percent,area,area_percent
1:1 정탐지,348,49.79,157471.60958123984,56.98
1:1 형상 오류,28,4.01,11709.368587943814,4.24
complex 정탐지,5,0.72,730.0040922638897,0.26
over-seg 정탐지,7,1.0,5180.3344171388035,1.87
over-seg 형상 오류,3,0.43,857.0833034418481,0.31
under-seg 정탐지,192,27.47,80260.29399776521,29.04
under-seg 형상 오류,7,1.0,1249.6043446708213,0.45
미탐지,66,9.44,11437.176186694704,4.14
오탐지,43,6.15,7482.38574590126,2.71
