class_10,count,count_percent,area,area_percent
1:1 갱신,658,6.27,139046.33790839676,5.61
1:1 변화없음,4760,45.33,1219897.4627295746,49.26
1:N 갱신,61,0.58,75483.15919671656,3.05
1:N 변화없음,12,0.11,4959.134113224413,0.2
N:1 갱신,920,8.76,184250.21317244228,7.44
N:1 변화없음,3347,31.88,691160.5044062162,27.91
N:N 갱신,12,0.11,13564.45143309101,0.55
N:N 변화없음,13,0.12,10082.500838124753,0.41
소멸,415,3.95,52211.411574361686,2.11
신축,302,2.88,85849.21849598105,3.47
