bd_class,count,count_percent,area,area_percent
1:1 정탐지,12992,62.73,2060634.2513177507,59.14
1:1 형상 오류,846,4.08,145840.81131451452,4.19
complex 정탐지,14,0.07,2411.875404465386,0.07
complex 형상 오류,17,0.08,5227.780099639931,0.15
over-seg 정탐지,34,0.16,15213.28341447263,0.44
over-seg 형상 오류,19,0.09,8269.361997743987,0.24
under-seg 정탐지,5513,26.62,1049536.4067011725,30.12
under-seg 형상 오류,337,1.63,54424.365169232115,1.56
미탐지,808,3.9,110487.2901257305,3.17
오탐지,130,0.63,32113.05313006071,0.92
