cls_10,count,count_percent,area,area_percent
1:1 FN,22,3.28,27330.959170999926,5.18
1:1 FP,22,3.28,10380.25504348906,1.97
1:1 TP,510,76.01,419982.8421172384,79.65
1:N FN,3,0.45,6658.844449998616,1.26
1:N FP,6,0.89,3266.32918262302,0.62
1:N TP,9,1.34,7951.638961474209,1.51
FN,44,6.56,5892.600758502633,1.12
FP,9,1.34,1576.5087649439474,0.3
N:1 TP,42,6.26,40780.06512342137,7.73
N:N FN,2,0.3,2201.290700005154,0.42
N:N FP,2,0.3,1257.2816163614086,0.24
