bd_class,count,count_percent,area,area_percent
1:1 정탐지,496,73.92,395322.08919843484,74.97
1:1 형상 오류,54,8.05,42936.18581859432,8.14
complex 형상 오류,4,0.6,3458.572316366563,0.66
over-seg 정탐지,9,1.34,7951.638961474209,1.51
over-seg 형상 오류,9,1.34,9925.173632621636,1.88
under-seg 정탐지,51,7.6,60755.957307120974,11.52
미탐지,39,5.81,5352.489889501216,1.02
오탐지,9,1.34,1576.5087649439474,0.3
