bd_class,count,count_percent,area,area_percent
1:1 정탐지,14198,58.49,2403455.245368397,55.52
1:1 형상 오류,1528,6.3,175949.95437633866,4.06
complex 정탐지,4,0.02,461.26215749921073,0.01
complex 형상 오류,8,0.03,4814.844209475818,0.11
over-seg 정탐지,21,0.09,15226.04917971231,0.35
over-seg 형상 오류,10,0.04,4265.336657298802,0.1
under-seg 정탐지,7733,31.86,1600835.7919949205,36.98
under-seg 형상 오류,391,1.61,75587.19764312028,1.75
미탐지,325,1.34,39454.63189248874,0.91
오탐지,55,0.23,9156.033914269989,0.21
