class_10,count,count_percent,area,area_percent
1:1 갱신,102,6.96,139201.1159031628,12.0
1:1 변화없음,894,60.98,599118.9637709442,51.64
1:N 갱신,42,2.86,49452.42944919871,4.26
1:N 변화없음,12,0.82,17936.29183552479,1.55
N:1 갱신,19,1.3,23780.344650283,2.05
N:1 변화없음,87,5.93,122170.76827329153,10.53
소멸,209,14.26,146870.55785331002,12.66
신축,101,6.89,61739.39869527847,5.32
