class_10,count,count_percent,area,area_percent
1:1 갱신,942,3.91,129326.22910972312,3.63
1:1 변화없음,22586,93.81,3318844.84103946,93.2
1:N 갱신,36,0.15,9544.801411772116,0.27
1:N 변화없음,29,0.12,11240.144406769496,0.32
N:1 갱신,131,0.54,26998.826936282545,0.76
N:1 변화없음,39,0.16,13831.794288049663,0.39
N:N 갱신,35,0.15,6397.575447333147,0.18
소멸,157,0.65,18793.128200456067,0.53
신축,121,0.5,25973.272454004386,0.73
