class_10,count,count_percent,area,area_percent
1:1 갱신,662,6.3,148861.57959442388,6.01
1:1 변화없음,4770,45.43,1279125.6307619908,51.65
1:N 갱신,64,0.61,84517.73024970508,3.41
1:N 변화없음,12,0.11,4959.134113224413,0.2
N:1 갱신,963,9.17,202810.0115799554,8.19
N:1 변화없음,3213,30.6,597535.835342651,24.13
N:N 갱신,8,0.08,4418.504229604563,0.18
N:N 변화없음,13,0.12,10082.500838124753,0.41
소멸,493,4.7,58344.24866246827,2.36
신축,302,2.88,85849.21849598105,3.47
