class_10,count,count_percent,area,area_percent
1:1 갱신,34,4.2,8082.390039817064,2.93
1:1 변화없음,736,90.98,257613.08912528283,93.43
N:1 변화없음,6,0.74,5337.307657577443,1.94
소멸,13,1.61,1654.0858920164526,0.6
신축,20,2.47,3048.6297389728297,1.11
