bd_class,count,count_percent,area,area_percent
1:1 정탐지,944,63.83,629912.0127218019,55.51
1:1 형상 오류,78,5.27,112572.12181863489,9.92
over-seg 정탐지,18,1.22,21988.328558861787,1.94
over-seg 형상 오류,38,2.57,53408.635518006566,4.71
under-seg 정탐지,98,6.63,135484.51913200298,11.94
under-seg 형상 오류,6,0.41,8974.533319117689,0.79
미탐지,208,14.06,114066.76175397556,10.05
오탐지,89,6.02,58451.90898094205,5.15
