class_10,count,count_percent,area,area_percent
1:1 갱신,102,6.96,139201.1159031628,12.0
1:1 변화없음,904,61.66,622491.5258398352,53.65
1:N 갱신,42,2.86,49452.42944919871,4.26
1:N 변화없음,12,0.82,17936.29183552479,1.55
N:1 갱신,18,1.23,23548.977769762267,2.03
N:1 변화없음,68,4.64,98097.55027482832,8.45
소멸,219,14.94,147802.580663403,12.74
신축,101,6.89,61739.39869527847,5.32
