클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,452,1071,238,214,833,0.527,0.222
변화없음,5736,4758,4560,1176,198,0.795,0.958
소멸,134,493,109,25,384,0.813,0.221
신축,319,318,211,108,107,0.661,0.664
