class_10,count,count_percent,area,area_percent
1:1 갱신,548,11.62,177708.3247646718,10.9
1:1 변화없음,2778,58.92,946561.3889192736,58.06
1:N 갱신,70,1.48,43960.949480481024,2.7
1:N 변화없음,43,0.91,35802.775425676846,2.2
N:1 갱신,141,2.99,51033.55676356,3.13
N:1 변화없음,552,11.71,213955.69935045345,13.12
N:N 갱신,8,0.17,6393.176763844998,0.39
N:N 변화없음,4,0.08,667.8472154360786,0.04
소멸,482,10.22,122737.9345357827,7.53
신축,89,1.89,31496.51100080088,1.93
