bd_class,count,count_percent,area,area_percent
1:1 정탐지,3014,65.14,973480.8986507904,61.77
1:1 형상 오류,276,5.96,110196.07345072397,6.99
complex 형상 오류,8,0.17,6393.186013597151,0.41
over-seg 정탐지,73,1.58,51144.78471055253,3.25
over-seg 형상 오류,41,0.89,20611.27267801511,1.31
under-seg 정탐지,686,14.83,272726.0856295066,17.3
under-seg 형상 오류,32,0.69,9327.12001095733,0.59
미탐지,390,8.43,82588.9667289875,5.24
오탐지,107,2.31,49553.6773423001,3.14
