클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,588,2133,356,232,1777,0.605,0.167
변화없음,11328,9036,8803,2525,233,0.777,0.974
소멸,159,906,96,63,810,0.604,0.106
신축,121,152,48,73,104,0.397,0.316
