bd_class,count,count_percent,area,area_percent
1:1 정탐지,5500,51.82,1373951.1886686005,53.7
1:1 형상 오류,296,2.79,99455.06166380315,3.89
complex 정탐지,20,0.19,26130.37515087379,1.02
complex 형상 오류,4,0.04,3892.5790044495834,0.15
over-seg 정탐지,29,0.27,15465.36389035252,0.6
over-seg 형상 오류,41,0.39,62641.51207390301,2.45
under-seg 정탐지,4056,38.22,868996.750818744,33.97
under-seg 형상 오류,190,1.79,35692.35853894375,1.4
미탐지,354,3.34,45860.20025501608,1.79
오탐지,123,1.16,26400.04832108008,1.03
