클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
갱신,2081,9470,1254,827,8216,0.603,0.132
변화없음,36398,26407,25624,10774,783,0.704,0.97
소멸,771,3373,536,235,2837,0.695,0.159
신축,877,948,399,478,549,0.455,0.421
합계,40127,40198,27813,12314,12385,0.693,0.692
