class_10,count,count_percent,area,area_percent
1:1 갱신,148,13.18,157915.05711403623,15.12
1:1 변화없음,512,45.59,482912.4292295327,46.25
1:N 갱신,46,4.1,115948.43531438112,11.1
N:1 갱신,40,3.56,27559.490589807385,2.64
N:1 변화없음,96,8.55,146038.34004105133,13.99
N:N 갱신,9,0.8,36338.89623326872,3.48
소멸,181,16.12,46360.56989447234,4.44
신축,91,8.1,31060.874914743556,2.97
