class_10,count,count_percent,area,area_percent
1:1 갱신,28,1.74,9563.127745034557,0.74
1:1 변화없음,1432,89.0,1217915.9318498357,93.7
N:1 갱신,6,0.37,11519.869313676527,0.89
N:1 변화없음,3,0.19,1221.3041859319703,0.09
소멸,62,3.85,42395.378213523596,3.26
신축,78,4.85,17137.004915497087,1.32
