class_10,count,count_percent,area,area_percent
1:1 갱신,246,4.68,59440.847716884164,3.45
1:1 변화없음,4700,89.39,1530047.3189043351,88.9
1:N 갱신,8,0.15,9676.873584088755,0.56
N:1 갱신,42,0.8,11307.557842112537,0.66
소멸,170,3.23,80203.09589703545,4.66
신축,92,1.75,30404.69377299863,1.77
