bd_class,count,count_percent,area,area_percent
1:1 정탐지,638,27.24,381401.68573103735,35.76
1:1 형상 오류,154,6.58,101902.4808265339,9.55
complex 정탐지,10,0.43,3839.932199371524,0.36
complex 형상 오류,10,0.43,3338.444590800899,0.31
over-seg 정탐지,15,0.64,16490.246868338563,1.55
over-seg 형상 오류,33,1.41,57760.47201031085,5.42
under-seg 정탐지,968,41.33,400498.74229623034,37.55
under-seg 형상 오류,86,3.67,33115.92948889533,3.11
미탐지,384,16.4,56072.93817042398,5.26
오탐지,44,1.88,12086.736906008904,1.13
