class_10,count,count_percent,area,area_percent
1:1 갱신,598,4.69,86340.60659478387,3.46
1:1 변화없음,11456,89.8,2217288.841566314,88.76
1:N 갱신,30,0.24,18092.036026110505,0.72
1:N 변화없음,18,0.14,8679.004536014474,0.35
N:1 갱신,197,1.54,24115.239972635158,0.97
N:1 변화없음,3,0.02,4837.727394592564,0.19
N:N 갱신,9,0.07,5912.233010768684,0.24
소멸,134,1.05,28916.45045964278,1.16
신축,312,2.45,103932.04551850785,4.16
